S. No.,Date_Received,Message_body,Label
304,05-11-21,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Non-Spam
305,12-06-21,Gud ni8.swt drms.take care,Non-Spam
306,06-10-21,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",Non-Spam
307,26-02-21,Pls speak with me. I wont ask anything other then you friendship.,Non-Spam
308,13-02-21,Did you see that film:),Non-Spam
309,21-06-21,I absolutely LOVE South Park! I only recently started watching the office.,Non-Spam
310,30-03-21,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Non-Spam
311,01-07-21,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Non-Spam
312,08-12-21,1 in cbe. 2 in chennai.,Non-Spam
313,22-04-21,"As usual..iam fine, happy &amp; doing well..:)",Non-Spam
314,12-02-21,Well she's in for a big surprise!,Non-Spam
315,10-05-21,Ok... Sweet dreams...,Non-Spam
316,15-11-21,I didnt get anything da,Non-Spam
317,29-01-21,Please tell me not all of my car keys are in your purse,Non-Spam
318,17-03-21,You do your studies alone without anyones help. If you cant no need to study.,Non-Spam
319,12-12-21,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Non-Spam
320,15-06-21,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Spam
321,25-06-21,"K I'm leaving soon, be there a little after 9",Non-Spam
322,14-06-21,U come n search tat vid..not finishd..,Non-Spam
323,05-05-21,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam
324,13-07-21,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Non-Spam
325,13-09-21,Thank you princess! I want to see your nice juicy booty...,Non-Spam
326,17-02-21,thanks for the temales it was wonderful. Thank. Have a great week.,Non-Spam
327,21-07-21,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Non-Spam
328,29-06-21,Hmm thinking lor...,Non-Spam
329,19-02-21,Its a part of checking IQ,Non-Spam
330,15-11-21,"Gud gud..k, chikku tke care.. sleep well gud nyt",Non-Spam
331,23-11-21,"Jay wants to work out first, how's 4 sound?",Non-Spam
332,16-05-21,Yeah I can still give you a ride,Non-Spam
333,08-08-21,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam
334,29-06-21,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Non-Spam
335,10-09-21,Ok cool. See ya then.,Non-Spam
336,26-08-21,Hey what how about your project. Started aha da.,Non-Spam
337,25-11-21,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam
338,30-05-21,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,Non-Spam
339,15-11-21,"Nope, I'm still in the market",Non-Spam
340,06-11-21,It means u could not keep ur words.,Non-Spam
341,06-11-21,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam
342,19-12-21,I re-met alex nichols from middle school and it turns out he's dealing!,Non-Spam
343,14-01-21,Prabha..i'm soryda..realy..frm heart i'm sory,Non-Spam
344,12-02-21,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Non-Spam
345,29-08-21,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,Non-Spam
346,22-12-21,If I die I want u to have all my stuffs.,Non-Spam
347,11-06-21,5 nights...We nt staying at port step liao...Too ex,Non-Spam
348,14-06-21,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Non-Spam
349,13-04-21,I have to take exam with in march 3,Non-Spam
350,08-07-21,Pls she needs to dat slowly or she will vomit more.,Non-Spam
351,05-05-21,I accidentally brought em home in the box,Non-Spam
352,03-12-21,Well thats nice. Too bad i cant eat it,Non-Spam
353,30-01-21,I am late. I will be there at,Non-Spam
354,23-11-21,I keep ten rs in my shelf:) buy two egg.,Non-Spam
355,01-11-21,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Spam
356,23-01-21,3 pa but not selected.,Non-Spam
357,18-02-21,K.k.how is your business now?,Non-Spam
358,04-07-21,It is only yesterday true true.,Non-Spam
359,23-07-21,Dai i downloaded but there is only exe file which i can only run that exe after installing.,Non-Spam
360,10-09-21,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam
361,21-11-21,Hi.what you think about match?,Non-Spam
362,14-09-21,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",Non-Spam
363,09-11-21,I will reach ur home in  &lt;#&gt;  minutes,Non-Spam
364,19-04-21,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam
365,06-11-21,How come she can get it? Should b quite diff to guess rite...,Non-Spam
366,02-02-21,Me fine..absolutly fine,Non-Spam
367,19-12-21,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Non-Spam
368,24-10-21,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam
369,02-11-21,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Spam
370,09-10-21,Ugh my leg hurts. Musta overdid it on mon.,Non-Spam
371,27-12-21,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,Non-Spam
372,10-03-21,I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..,Non-Spam
373,05-06-21,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",Spam
374,10-12-21,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Non-Spam
375,31-10-21,Ok... Take ur time n enjoy ur dinner...,Non-Spam
376,12-08-21,"It's wylie, you in tampa or sarasota?",Non-Spam
377,07-08-21,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Non-Spam
378,04-06-21,"Sorry, I'll call later",Non-Spam
379,10-09-21,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,Spam
380,12-12-21,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Spam
381,19-10-21,Okie,Non-Spam
382,15-06-21,WHAT TIME U WRKIN?,Non-Spam
383,20-02-21,I uploaded mine to Facebook,Non-Spam
384,24-12-21,I just cooked a rather nice salmon a la you,Non-Spam
385,16-12-21,I'm in town now so i'll jus take mrt down later.,Non-Spam
386,17-04-21,"Fuuuuck I need to stop sleepin, sup",Non-Spam
387,14-09-21,I sent them. Do you like?,Non-Spam
388,06-11-21,K sure am in my relatives home. Sms me de. Pls:-),Non-Spam
389,28-06-21,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Non-Spam
390,01-05-21,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Non-Spam
391,21-05-21,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,Spam
392,26-10-21,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Non-Spam
393,30-03-21,Company is very good.environment is terrific and food is really nice:),Non-Spam
394,15-11-21,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Non-Spam
395,04-01-21,Water logging in desert. Geoenvironmental implications.,Non-Spam
396,04-01-21,U 2.,Non-Spam
397,28-01-21,"Aight, text me tonight and we'll see what's up",Non-Spam
398,21-06-21,Oh k. . I will come tomorrow,Non-Spam
399,26-09-21,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,Non-Spam
400,14-11-21,Now i'm going for lunch.,Non-Spam
401,07-02-21,"I‘ve got some salt, you can rub it in my open wounds if you like!",Non-Spam
402,09-01-21,Oh did you charge camera,Non-Spam
403,27-07-21,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Non-Spam
404,22-12-21,Ü still got lessons?  Ü in sch?,Non-Spam
405,18-07-21,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",Spam
406,21-03-21,Ok leave no need to ask,Non-Spam
407,25-10-21,Just send a text. We'll skype later.,Non-Spam
408,17-02-21,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Non-Spam
409,24-02-21,Ok... Then r we meeting later?,Non-Spam
410,29-08-21,No but the bluray player can,Non-Spam
411,31-08-21,I will come with karnan car. Please wait till 6pm will directly goto doctor.,Non-Spam
412,29-07-21,K k:) sms chat with me.,Non-Spam
413,24-06-21,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Non-Spam
414,24-06-21,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Non-Spam
415,17-03-21,"Like  &lt;#&gt; , same question",Non-Spam
416,14-05-21,Haven't left yet so probably gonna be here til dinner,Non-Spam
417,05-06-21,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Non-Spam
418,27-11-21,No problem with the renewal. I.ll do it right away but i dont know his details.,Non-Spam
419,27-02-21,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Non-Spam
420,24-08-21,Pls call me da. What happen.,Non-Spam
421,26-11-21,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Non-Spam
422,26-02-21,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
423,13-02-21,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,Non-Spam
424,14-02-21,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Non-Spam
425,19-04-21,I'm in office now da:)where are you?,Non-Spam
426,26-01-21,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,Non-Spam
427,28-01-21,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Non-Spam
428,21-05-21,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,Spam
429,11-03-21,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Non-Spam
430,30-05-21,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Non-Spam
431,29-07-21,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Non-Spam
432,15-03-21,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",Spam
433,15-09-21,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Non-Spam
434,25-12-21,Sorry * was at the grocers.,Non-Spam
435,28-02-21,Sday only joined.so training we started today:),Non-Spam
436,30-08-21,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Non-Spam
437,30-09-21,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Non-Spam
438,28-04-21,That sucks. I'll go over so u can do my hair. You'll do it free right?,Non-Spam
439,02-05-21,Any way where are you and what doing.,Non-Spam
440,22-01-21,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Non-Spam
441,28-02-21,Wot about on wed nite I am 3 then but only til 9!,Non-Spam
442,27-11-21,Cuz ibored. And don wanna study,Non-Spam
443,16-04-21,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",Non-Spam
444,12-11-21,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Non-Spam
445,04-07-21,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Non-Spam
446,10-12-21,"Hi Chikku, send some nice msgs",Non-Spam
447,25-01-21,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,Non-Spam
448,16-02-21,"Oops I did have it,  &lt;#&gt; ?",Non-Spam
449,19-08-21,PRIVATE! Your 2003 Account Statement for 078,Spam
450,19-03-21,Lol for real. She told my dad I have cancer,Non-Spam
451,14-12-21,Are you driving or training?,Non-Spam
452,02-10-21,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Non-Spam
453,26-09-21,Thanks. Fills me with complete calm and reassurance! ,Non-Spam
454,28-12-21,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",Spam
455,12-10-21,Argh why the fuck is nobody in town ;_;,Non-Spam
456,08-06-21,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,Non-Spam
457,11-07-21,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,Spam
458,05-03-21,I've reached sch already...,Non-Spam
459,07-04-21,You have 1 new message. Please call 08715205273,Spam
460,26-04-21,Oh you got many responsibilities.,Non-Spam
461,23-08-21,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Non-Spam
462,23-04-21,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Non-Spam
463,01-03-21,Ding me on ya break fassyole! Blacko from londn,Non-Spam
464,03-10-21,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Non-Spam
465,11-05-21,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Non-Spam
466,08-06-21,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Non-Spam
467,09-04-21,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam
468,01-05-21,Nope thats fine. I might have a nap tho! ,Non-Spam
469,05-06-21,"Aight, call me once you're close",Non-Spam
470,30-07-21,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Non-Spam
471,07-07-21,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",Spam
472,30-11-21,Sorry about that this is my mates phone and i didnt write it love Kate,Non-Spam
473,28-12-21,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Non-Spam
474,29-09-21,K.k.this month kotees birthday know?,Non-Spam
475,30-08-21,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Non-Spam
476,14-07-21,Gokila is talking with you aha:),Non-Spam
477,13-02-21,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Non-Spam
478,27-04-21,No no. I will check all rooms befor activities,Non-Spam
479,31-07-21,"St andre, virgil's cream",Non-Spam
480,27-05-21,What type of stuff do you sing?,Non-Spam
481,24-01-21,I wont do anything de.,Non-Spam
482,12-02-21,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Non-Spam
483,14-11-21,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Non-Spam
484,18-07-21,Sorry i missed your call. Can you please call back.,Non-Spam
485,26-06-21,Hey happy birthday...,Non-Spam
486,24-01-21,Aiya we discuss later lar... Pick ü up at 4 is it?,Non-Spam
487,14-02-21,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Non-Spam
488,25-06-21,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS – FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,I’L CALL U""",Non-Spam
489,30-04-21,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,Non-Spam
490,27-05-21,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Spam
491,03-03-21,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Non-Spam
492,25-04-21,"Well, i'm glad you didn't find it totally disagreeable ... Lol",Non-Spam
493,09-02-21,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",Spam
494,05-04-21,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Non-Spam
495,11-11-21,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam
496,28-09-21,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,Spam
497,14-08-21,As in different styles?,Non-Spam
498,16-09-21,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,Spam
499,12-12-21,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Non-Spam
500,25-07-21,Talk to g and x about that,Non-Spam
501,08-11-21,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,Spam
502,21-06-21,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Non-Spam
503,04-06-21,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Non-Spam
504,12-12-21,I dunno lei... Like dun haf...,Non-Spam
505,04-11-21,Ok i also wan 2 watch e 9 pm show...,Non-Spam
506,12-04-21,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Non-Spam
507,11-08-21,"Sorry, I'll call you  later. I am in meeting sir.",Non-Spam
508,19-08-21,I think i am disturbing her da,Non-Spam
509,27-08-21,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Spam
510,03-01-21,"Geeeee ... Your internet is really bad today, eh ?",Non-Spam
511,26-02-21,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Non-Spam
512,01-05-21,Goodnight da thangam I really miss u dear.,Non-Spam
513,08-08-21,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Non-Spam
514,29-12-21,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Spam
515,14-08-21,Lmao you know me so well...,Non-Spam
516,26-08-21,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Non-Spam
517,07-10-21,With my sis lor... We juz watched italian job.,Non-Spam
518,24-05-21,I will vote for wherever my heart guides me,Non-Spam
519,23-01-21,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Non-Spam
520,14-11-21,Hmmm.still we dont have opener?,Non-Spam
521,13-10-21,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,Non-Spam
522,15-03-21,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Non-Spam
523,26-07-21,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Non-Spam
524,14-12-21,O ic lol. Should play 9 doors sometime yo,Non-Spam
525,03-03-21,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,Spam
526,26-03-21,She ran off with a younger man. we will make pretty babies together :),Non-Spam
527,03-07-21,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Spam
528,30-04-21,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Non-Spam
529,30-10-21,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Non-Spam
530,03-11-21,(You didn't hear it from me),Non-Spam
531,08-01-21,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,Spam
532,12-09-21,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam
533,25-03-21,I want to go to perumbavoor,Non-Spam
534,15-10-21,"* Was really good to see you the other day dudette, been missing you!",Non-Spam
535,27-02-21,Ok i vl..do u know i got adsense approved..,Non-Spam
536,22-12-21,Hey... Very inconvenient for your sis a not huh?,Non-Spam
537,19-04-21,Is there coming friday is leave for pongal?do you get any news from your work place.,Non-Spam
538,04-02-21,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),Spam
539,16-12-21,Go chase after her and run her over while she's crossing the street,Non-Spam
540,14-07-21,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,Spam
541,22-06-21,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Spam
542,22-06-21,I was gonna ask you lol but i think its at 7,Non-Spam
543,09-04-21,Where you. What happen,Non-Spam
544,21-06-21,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Non-Spam
545,25-04-21,Yes its possible but dint try. Pls dont tell to any one k,Non-Spam
546,11-01-21,:-( sad puppy noise,Non-Spam
547,01-01-21,"It's cool, we can last a little while. Getting more any time soon?",Non-Spam
548,21-12-21,Great! How is the office today?,Non-Spam
549,04-04-21,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,Non-Spam
550,01-03-21,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,Spam
551,22-09-21,Hey gals...U all wanna meet 4 dinner at nìte? ,Non-Spam
552,10-12-21,I think the other two still need to get cash but we can def be ready by 9,Non-Spam
553,17-10-21,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Non-Spam
554,24-08-21,"Uncle G, just checking up on you. Do have a rewarding month",Non-Spam
555,06-12-21,U attend ur driving lesson how many times a wk n which day?,Non-Spam
556,11-11-21,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam
557,09-12-21,"By the way, 'rencontre' is to meet again. Mountains dont....",Non-Spam
558,26-10-21,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",Non-Spam
559,18-05-21,Go fool dont cheat others ok,Non-Spam
560,12-07-21,Oh k. . I will come tomorrow,Non-Spam
561,28-08-21,ILL B DOWN SOON,Non-Spam
562,14-11-21,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Non-Spam
563,27-07-21,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Non-Spam
564,02-11-21,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,Spam
565,03-11-21,You still around? Looking to pick up later,Non-Spam
566,22-06-21,"Nope. Since ayo travelled, he has forgotten his guy",Non-Spam
567,11-11-21,Well its not like you actually called someone a punto. That woulda been worse.,Non-Spam
568,20-10-21,"Hmph. Go head, big baller.",Non-Spam
569,01-07-21,Can you talk with me..,Non-Spam
570,10-02-21,Esplanade lor. Where else...,Non-Spam
571,16-10-21,Happy new year. Hope you are having a good semester,Non-Spam
572,23-04-21,"Just looked it up and addie goes back Monday, sucks to be her",Non-Spam
573,09-11-21,My drive can only be read. I need to write,Non-Spam
574,18-01-21,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",Non-Spam
575,09-02-21,I'm hungry buy smth home...,Non-Spam
576,01-03-21,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",Non-Spam
577,17-10-21,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Spam
578,23-02-21,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,Non-Spam
579,28-10-21,Which channel:-):-):):-).,Non-Spam
580,19-03-21,No rushing. I'm not working. I'm in school so if we rush we go hungry.,Non-Spam
581,16-12-21,That's y u haf 2 keep me busy...,Non-Spam
582,07-10-21,Dont let studying stress you out. L8r.,Non-Spam
583,07-01-21,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,Spam
584,31-08-21,Networking job is there.,Non-Spam
585,13-04-21,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,Non-Spam
